="",="(1)",="",="",=""
="",="",="",="",=""
="",="mean",="sd",="min",="max"
="husedu==     1.0000",="0.329",="0.470",="0.000",="1.000"
="husedu==     2.0000",="0.161",="0.368",="0.000",="1.000"
="husedu==     3.0000",="0.038",="0.191",="0.000",="1.000"
="husedu==     4.0000",="0.472",="0.500",="0.000",="1.000"
="wifedu==     1.0000",="0.319",="0.467",="0.000",="1.000"
="wifedu==     2.0000",="0.200",="0.400",="0.000",="1.000"
="wifedu==     3.0000",="0.253",="0.435",="0.000",="1.000"
="wifedu==     4.0000",="0.227",="0.419",="0.000",="1.000"
="hustype==     1.0000",="0.884",="0.321",="0.000",="1.000"
="hustype==     2.0000",="0.041",="0.197",="0.000",="1.000"
="hustype==     3.0000",="0.070",="0.256",="0.000",="1.000"
="hustype==     4.0000",="0.005",="0.073",="0.000",="1.000"
="wiftype==正規",="0.234",="0.424",="0.000",="1.000"
="wiftype==非正規",="0.299",="0.458",="0.000",="1.000"
="wiftype==自営・家族従業",="0.031",="0.174",="0.000",="1.000"
="wiftype==無職",="0.436",="0.496",="0.000",="1.000"
="husincome",="4996447.903",="2588754.815",="0.000",="25000000.000"
="wifincome",="1340493.911",="1882975.844",="0.000",="25000000.000"
="wifage",="33.996",="4.386",="20.000",="46.000"
="numchild",="1.525",="0.943",="0.000",="6.000"
="seq6==正規継続",="0.171",="0.376",="0.000",="1.000"
="seq6==非正規継続",="0.164",="0.370",="0.000",="1.000"
="seq6==無職継続",="0.150",="0.358",="0.000",="1.000"
="seq6==途中参入",="0.183",="0.387",="0.000",="1.000"
="seq6==途中退出",="0.055",="0.229",="0.000",="1.000"
="seq6==その他",="0.277",="0.448",="0.000",="1.000"
="homogamy==低学歴同類婚",="0.168",="0.374",="0.000",="1.000"
="homogamy==中学歴同類婚",="0.106",="0.307",="0.000",="1.000"
="homogamy==高学歴同類婚",="0.177",="0.382",="0.000",="1.000"
="homogamy==妻上昇婚",="0.364",="0.481",="0.000",="1.000"
="homogamy==妻下降婚",="0.185",="0.389",="0.000",="1.000"
